id,user_id
7221,3953
7243,569
7246,685
7251,2792
7273,3973
7276,3809
7296,648
7368,4009
7386,4014
7400,4019
7428,685
7439,1528
7469,648
7480,4044
7437,4027
7508,4050
12858,10296
7530,4057
7561,3736
7579,4072
7593,2729
7560,3809
7611,4089
7621,4090
7630,4057
7635,2809
7608,4086
7672,4101
7677,1217
7678,648
7725,4115
11316,6558
7780,4126
7800,5
7767,354
7806,3771
7829,2927
7845,1528
7853,4148
7856,4151
7896,4163
10000,5233
7974,3736
8028,4295
8051,4172
8064,4225
8081,4230
8098,4237
8118,4246
8170,4269
8224,4296
8189,1404
8190,4279
8195,3442
8199,4282
8227,1217
8230,4298
8231,1217
8241,2811
8247,4306
8259,1
8262,4311
8264,4315
8276,4340
8281,4348
8285,4360
8289,4374
8290,4373
8293,4378
8299,4390
8300,1463
8307,4404
8315,4416
8320,4419
10575,7597
8322,4421
8324,4429
8333,1
8340,4447
8343,4455
8344,3928
8345,4456
8353,4126
8356,4469
8357,4350
8359,2811
8360,4475
8361,4476
8362,4480
8365,4426
8368,4298
8370,4489
8332,4436
8321,4420
8376,4498
8379,4504
8383,4509
8390,4533
8393,4273
8403,4519
8404,4549
8409,4558
8425,1495
8429,4583
8430,4582
8432,4584
8436,2113
8440,4591
8443,4593
8378,4503
8380,4506
8416,4569
8418,4573
8420,4574
8422,4576
8431,4541
8445,4172
8447,4604
8448,4605
